Pages,Language,Price,Price_per_page,Gift
374,English,9.99,0.026711229946524064,Yes
337,English,6.99,0.020741839762611278,No
387,English,8.49,0.02193798449612403,No
353,English,6.99,0.01980169971671388,No
321,English,7.49,0.023333333333333334,No
405,English,6.99,0.01725925925925926,No
421,English,6.99,0.01660332541567696,No
403,English,7.49,0.01858560794044665,No
469,English,7.49,0.015970149253731344,No
372,English,8.49,0.02282258064516129,No
388,English,7.49,0.01930412371134021,No
176,English,7.99,0.04539772727272728,Yes
327,English,9.49,0.029021406727828748,Yes
460,English,2.49,0.00541304347826087,No
722,English,3.99,0.005526315789473685,No
706,English,5.99,0.00848441926345609,No
476,English,7.99,0.016785714285714286,No
412,English,5.99,0.014538834951456312,No
705,English,5.99,0.00849645390070922,No
337,English,13.95,0.0413946587537092,Yes
231,English,3.99,0.017272727272727273,No
285,English,3.99,0.014,No
210,English,3.99,0.019,No
